time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-01 00:00:00+00:00,1,1,1.0,1.0
2025-10-02 00:00:00+00:00,3,3,,
2025-10-03 00:00:00+00:00,6,6,,
2025-10-04 00:00:00+00:00,7,4,1.0,1.0
2025-10-05 00:00:00+00:00,4,4,,
2025-10-06 00:00:00+00:00,1,1,3.0,2.0
2025-10-07 00:00:00+00:00,2,2,,
2025-10-08 00:00:00+00:00,4,4,,
2025-10-09 00:00:00+00:00,1,1,40.0,3.0
2025-10-10 00:00:00+00:00,2,2,,
2025-10-11 00:00:00+00:00,3,3,,
2025-10-12 00:00:00+00:00,8,7,,
2025-10-13 00:00:00+00:00,9,7,2.0,1.0
2025-10-14 00:00:00+00:00,19,4,1.0,1.0
