time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-17 00:00:00+00:00,5.0,2.0,6.0,3.0
2025-02-18 00:00:00+00:00,3.0,2.0,1.0,1.0
2025-02-19 00:00:00+00:00,1.0,1.0,,
2025-02-20 00:00:00+00:00,1.0,1.0,,
2025-02-21 00:00:00+00:00,8.0,5.0,8.0,2.0
2025-02-22 00:00:00+00:00,5.0,3.0,4.0,2.0
2025-02-23 00:00:00+00:00,4.0,2.0,,
2025-02-24 00:00:00+00:00,1.0,1.0,8.0,5.0
2025-02-25 00:00:00+00:00,4.0,2.0,3.0,3.0
2025-02-26 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-02-27 00:00:00+00:00,6.0,2.0,5.0,3.0
2025-02-28 00:00:00+00:00,4.0,2.0,7.0,2.0
2025-03-01 00:00:00+00:00,10.0,4.0,,
2025-03-02 00:00:00+00:00,,,1.0,1.0
