time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-27 00:00:00+00:00,3,3,0,0
2026-07-28 00:00:00+00:00,18,9,0,0
2026-07-29 00:00:00+00:00,12,5,0,0
2026-07-30 00:00:00+00:00,1,1,1,1
2026-07-31 00:00:00+00:00,1,1,2,2
2026-08-01 00:00:00+00:00,2,2,0,0
2026-08-02 00:00:00+00:00,1,1,0,0
2026-08-03 00:00:00+00:00,5,1,0,0
2026-08-04 00:00:00+00:00,10,5,0,0
2026-08-05 00:00:00+00:00,6,6,2,2
2026-08-06 00:00:00+00:00,16,5,0,0
2026-08-07 00:00:00+00:00,11,5,1,1
2026-08-08 00:00:00+00:00,10,5,0,0
2026-08-09 00:00:00+00:00,2,2,4,4
