time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-08 00:00:00+00:00,3.0,2.0,3.0,1.0
2025-03-09 00:00:00+00:00,5.0,3.0,1.0,1.0
2025-03-10 00:00:00+00:00,3.0,2.0,5.0,1.0
2025-03-11 00:00:00+00:00,1.0,1.0,9.0,2.0
2025-03-12 00:00:00+00:00,1.0,1.0,8.0,5.0
2025-03-13 00:00:00+00:00,4.0,2.0,1.0,1.0
2025-03-14 00:00:00+00:00,6.0,3.0,,
2025-03-15 00:00:00+00:00,4.0,2.0,,
2025-03-16 00:00:00+00:00,2.0,2.0,,
2025-03-17 00:00:00+00:00,11.0,4.0,11.0,3.0
2025-03-18 00:00:00+00:00,7.0,4.0,9.0,2.0
2025-03-19 00:00:00+00:00,2.0,2.0,1.0,1.0
2025-03-20 00:00:00+00:00,8.0,6.0,20.0,4.0
2025-03-21 00:00:00+00:00,,,3.0,2.0
