time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-25 00:00:00+00:00,2.0,2.0,5,3
2024-05-26 00:00:00+00:00,1.0,1.0,16,3
2024-05-27 00:00:00+00:00,5.0,2.0,63,8
2024-05-28 00:00:00+00:00,1.0,1.0,36,10
2024-05-29 00:00:00+00:00,2.0,2.0,12,3
2024-05-30 00:00:00+00:00,7.0,3.0,32,5
2024-05-31 00:00:00+00:00,5.0,2.0,2,1
2024-06-01 00:00:00+00:00,1.0,1.0,23,3
2024-06-02 00:00:00+00:00,6.0,2.0,6,3
2024-06-03 00:00:00+00:00,9.0,4.0,10,2
2024-06-04 00:00:00+00:00,3.0,3.0,99,8
2024-06-05 00:00:00+00:00,2.0,2.0,3,2
2024-06-06 00:00:00+00:00,2.0,2.0,24,4
2024-06-07 00:00:00+00:00,,,2,2
