time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-28 00:00:00+00:00,3.0,1.0,4,1
2024-07-29 00:00:00+00:00,,,4,2
2024-07-30 00:00:00+00:00,2.0,1.0,60,2
2024-07-31 00:00:00+00:00,1.0,1.0,62,1
2024-08-01 00:00:00+00:00,,,3,1
2024-08-02 00:00:00+00:00,4.0,2.0,5,1
2024-08-03 00:00:00+00:00,,,5,2
2024-08-04 00:00:00+00:00,,,12,3
2024-08-05 00:00:00+00:00,7.0,3.0,18,5
2024-08-06 00:00:00+00:00,,,9,1
2024-08-07 00:00:00+00:00,,,12,2
2024-08-08 00:00:00+00:00,3.0,2.0,20,3
2024-08-09 00:00:00+00:00,,,23,3
2024-08-10 00:00:00+00:00,,,7,2
