time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,4,4,3,3
2026-09-11 00:00:00+00:00,7,7,0,0
2026-09-12 00:00:00+00:00,4,4,1,1
2026-09-13 00:00:00+00:00,154,13,1,1
2026-09-14 00:00:00+00:00,7,7,0,0
2026-09-15 00:00:00+00:00,3,2,5,4
2026-09-16 00:00:00+00:00,23,3,2,2
2026-09-17 00:00:00+00:00,2,2,0,0
2026-09-18 00:00:00+00:00,8,3,0,0
2026-09-19 00:00:00+00:00,3,3,0,0
2026-09-20 00:00:00+00:00,18,8,11,3
2026-09-21 00:00:00+00:00,3,3,10,2
2026-09-22 00:00:00+00:00,1,1,1,1
2026-09-23 00:00:00+00:00,16,10,1,1
