time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-14 00:00:00+00:00,1,1,3,1
2023-10-15 00:00:00+00:00,1,1,4,3
2023-10-16 00:00:00+00:00,2,2,59,4
2023-10-17 00:00:00+00:00,2,2,15,4
2023-10-18 00:00:00+00:00,1,1,6,3
2023-10-19 00:00:00+00:00,2,2,20,5
2023-10-20 00:00:00+00:00,3,3,34,4
2023-10-21 00:00:00+00:00,2,2,9,1
2023-10-22 00:00:00+00:00,1,1,7,3
2023-10-23 00:00:00+00:00,4,3,12,3
2023-10-24 00:00:00+00:00,3,2,10,5
2023-10-25 00:00:00+00:00,1,1,4,2
2023-10-26 00:00:00+00:00,1,1,2,2
