time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-19 00:00:00+00:00,,,10.0,4.0
2024-08-20 00:00:00+00:00,,,5.0,2.0
2024-08-21 00:00:00+00:00,1.0,1.0,,
2024-08-22 00:00:00+00:00,,,18.0,3.0
2024-08-23 00:00:00+00:00,2.0,1.0,22.0,6.0
2024-08-24 00:00:00+00:00,,,1.0,1.0
2024-08-25 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-08-26 00:00:00+00:00,1.0,1.0,,
2024-08-27 00:00:00+00:00,,,6.0,2.0
2024-08-28 00:00:00+00:00,2.0,1.0,2.0,2.0
2024-08-29 00:00:00+00:00,3.0,1.0,4.0,2.0
2024-08-30 00:00:00+00:00,2.0,1.0,15.0,5.0
2024-08-31 00:00:00+00:00,2.0,1.0,5.0,2.0
2024-09-01 00:00:00+00:00,,,1.0,1.0
