time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,2,2,,
2025-10-11 00:00:00+00:00,3,3,,
2025-10-12 00:00:00+00:00,8,7,,
2025-10-13 00:00:00+00:00,9,7,2.0,1.0
2025-10-14 00:00:00+00:00,20,5,1.0,1.0
2025-10-15 00:00:00+00:00,3,2,5.0,3.0
2025-10-16 00:00:00+00:00,1,1,,
2025-10-17 00:00:00+00:00,1,1,,
2025-10-18 00:00:00+00:00,14,4,5.0,1.0
2025-10-19 00:00:00+00:00,9,3,,
2025-10-20 00:00:00+00:00,3,3,1.0,1.0
2025-10-21 00:00:00+00:00,26,5,,
2025-10-22 00:00:00+00:00,8,3,2.0,2.0
2025-10-23 00:00:00+00:00,1,1,,
