time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-08 00:00:00+00:00,1.0,1.0,17.0,4.0
2024-09-09 00:00:00+00:00,,,6.0,4.0
2024-09-10 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-09-11 00:00:00+00:00,3.0,1.0,20.0,6.0
2024-09-12 00:00:00+00:00,,,11.0,2.0
2024-09-13 00:00:00+00:00,3.0,1.0,13.0,4.0
2024-09-14 00:00:00+00:00,,,51.0,8.0
2024-09-15 00:00:00+00:00,4.0,2.0,,
2024-09-16 00:00:00+00:00,3.0,2.0,3.0,3.0
2024-09-17 00:00:00+00:00,,,7.0,4.0
2024-09-18 00:00:00+00:00,3.0,2.0,57.0,7.0
2024-09-19 00:00:00+00:00,1.0,1.0,62.0,8.0
2024-09-20 00:00:00+00:00,,,24.0,7.0
2024-09-21 00:00:00+00:00,2.0,2.0,56.0,7.0
