time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-14 00:00:00+00:00,6.0,5.0,,
2025-06-15 00:00:00+00:00,2.0,2.0,6.0,1.0
2025-06-16 00:00:00+00:00,13.0,8.0,,
2025-06-17 00:00:00+00:00,9.0,6.0,,
2025-06-18 00:00:00+00:00,3.0,3.0,,
2025-06-19 00:00:00+00:00,4.0,4.0,2.0,2.0
2025-06-20 00:00:00+00:00,1.0,1.0,6.0,2.0
2025-06-21 00:00:00+00:00,1.0,1.0,14.0,1.0
2025-06-22 00:00:00+00:00,3.0,3.0,9.0,1.0
2025-06-23 00:00:00+00:00,1.0,1.0,1.0,1.0
2025-06-24 00:00:00+00:00,6.0,4.0,,
2025-06-25 00:00:00+00:00,1.0,1.0,6.0,3.0
2025-06-26 00:00:00+00:00,4.0,4.0,2.0,2.0
2025-06-27 00:00:00+00:00,,,1.0,1.0
