time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-27 00:00:00+00:00,1.0,1.0,,
2023-10-28 00:00:00+00:00,1.0,1.0,10.0,4.0
2023-10-29 00:00:00+00:00,2.0,2.0,2.0,2.0
2023-10-30 00:00:00+00:00,2.0,2.0,12.0,7.0
2023-10-31 00:00:00+00:00,1.0,1.0,,
2023-11-01 00:00:00+00:00,2.0,2.0,3.0,3.0
2023-11-02 00:00:00+00:00,1.0,1.0,,
2023-11-03 00:00:00+00:00,5.0,4.0,7.0,4.0
2023-11-04 00:00:00+00:00,3.0,3.0,2.0,2.0
2023-11-05 00:00:00+00:00,1.0,1.0,2.0,1.0
2023-11-06 00:00:00+00:00,2.0,2.0,19.0,2.0
2023-11-07 00:00:00+00:00,1.0,1.0,8.0,3.0
2023-11-08 00:00:00+00:00,3.0,3.0,20.0,4.0
2023-11-09 00:00:00+00:00,,,34.0,6.0
