time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-01 00:00:00+00:00,43.0,12.0,,
2025-12-02 00:00:00+00:00,23.0,6.0,,
2025-12-03 00:00:00+00:00,94.0,19.0,1.0,1.0
2025-12-04 00:00:00+00:00,10.0,5.0,1.0,1.0
2025-12-05 00:00:00+00:00,10.0,6.0,3.0,1.0
2025-12-06 00:00:00+00:00,8.0,4.0,,
2025-12-07 00:00:00+00:00,9.0,5.0,5.0,2.0
2025-12-08 00:00:00+00:00,7.0,3.0,,
2025-12-09 00:00:00+00:00,11.0,5.0,6.0,6.0
2025-12-10 00:00:00+00:00,4.0,4.0,1.0,1.0
2025-12-11 00:00:00+00:00,10.0,6.0,1.0,1.0
2025-12-12 00:00:00+00:00,8.0,4.0,2.0,2.0
2025-12-13 00:00:00+00:00,4.0,4.0,11.0,5.0
2025-12-14 00:00:00+00:00,,,1.0,1.0
