time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-09 00:00:00+00:00,4,2,3.0,1.0
2025-02-10 00:00:00+00:00,6,2,8.0,1.0
2025-02-11 00:00:00+00:00,1,1,2.0,1.0
2025-02-12 00:00:00+00:00,2,2,2.0,2.0
2025-02-13 00:00:00+00:00,6,2,4.0,2.0
2025-02-14 00:00:00+00:00,9,4,10.0,3.0
2025-02-15 00:00:00+00:00,3,3,1.0,1.0
2025-02-16 00:00:00+00:00,2,2,3.0,1.0
2025-02-17 00:00:00+00:00,5,2,6.0,3.0
2025-02-18 00:00:00+00:00,3,2,1.0,1.0
2025-02-19 00:00:00+00:00,1,1,,
2025-02-20 00:00:00+00:00,1,1,,
2025-02-21 00:00:00+00:00,8,5,8.0,2.0
2025-02-22 00:00:00+00:00,1,1,4.0,2.0
