time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,1,1,4,3
2026-08-26 00:00:00+00:00,5,5,1,1
2026-08-27 00:00:00+00:00,3,2,0,0
2026-08-28 00:00:00+00:00,1,1,1,1
2026-08-29 00:00:00+00:00,6,6,0,0
2026-08-30 00:00:00+00:00,4,3,1,1
2026-08-31 00:00:00+00:00,6,5,0,0
2026-09-01 00:00:00+00:00,6,6,1,1
2026-09-02 00:00:00+00:00,3,3,0,0
2026-09-03 00:00:00+00:00,1,1,2,2
2026-09-04 00:00:00+00:00,14,5,1,1
2026-09-05 00:00:00+00:00,3,3,1,1
2026-09-06 00:00:00+00:00,52,4,0,0
2026-09-07 00:00:00+00:00,18,9,1,1
