time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-25 00:00:00+00:00,3.0,3.0,9.0,2.0
2023-11-26 00:00:00+00:00,1.0,1.0,3.0,3.0
2023-11-27 00:00:00+00:00,3.0,3.0,10.0,3.0
2023-11-28 00:00:00+00:00,1.0,1.0,3.0,1.0
2023-11-29 00:00:00+00:00,1.0,1.0,20.0,2.0
2023-11-30 00:00:00+00:00,4.0,4.0,15.0,6.0
2023-12-01 00:00:00+00:00,3.0,2.0,2.0,2.0
2023-12-02 00:00:00+00:00,2.0,2.0,,
2023-12-03 00:00:00+00:00,1.0,1.0,2.0,2.0
2023-12-04 00:00:00+00:00,4.0,3.0,3.0,2.0
2023-12-05 00:00:00+00:00,2.0,2.0,66.0,7.0
2023-12-06 00:00:00+00:00,2.0,2.0,27.0,4.0
2023-12-07 00:00:00+00:00,2.0,2.0,14.0,4.0
2023-12-08 00:00:00+00:00,,,53.0,5.0
