time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-16 00:00:00+00:00,5,4,8,4
2023-07-17 00:00:00+00:00,2,2,9,3
2023-07-18 00:00:00+00:00,2,2,33,6
2023-07-19 00:00:00+00:00,1,1,64,5
2023-07-20 00:00:00+00:00,1,1,11,7
2023-07-21 00:00:00+00:00,2,2,9,5
2023-07-22 00:00:00+00:00,1,1,5,2
2023-07-23 00:00:00+00:00,1,1,6,2
2023-07-24 00:00:00+00:00,3,3,10,4
2023-07-25 00:00:00+00:00,1,1,3,2
2023-07-26 00:00:00+00:00,1,1,3,3
2023-07-27 00:00:00+00:00,2,2,27,4
2023-07-28 00:00:00+00:00,7,5,6,3
2023-07-29 00:00:00+00:00,1,1,19,2
