time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-28 00:00:00+00:00,20,7,2,1
2025-12-29 00:00:00+00:00,8,4,0,0
2025-12-30 00:00:00+00:00,10,7,0,0
2025-12-31 00:00:00+00:00,11,6,1,1
2026-01-01 00:00:00+00:00,5,5,0,0
2026-01-02 00:00:00+00:00,8,4,0,0
2026-01-03 00:00:00+00:00,11,7,0,0
2026-01-04 00:00:00+00:00,13,5,4,3
2026-01-05 00:00:00+00:00,7,3,7,6
2026-01-06 00:00:00+00:00,13,6,1,1
2026-01-07 00:00:00+00:00,2,2,4,2
2026-01-08 00:00:00+00:00,5,5,6,3
2026-01-09 00:00:00+00:00,4,4,0,0
2026-01-10 00:00:00+00:00,9,5,0,0
