time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-05 00:00:00+00:00,2,2,10,3
2023-04-06 00:00:00+00:00,2,2,12,3
2023-04-07 00:00:00+00:00,4,4,14,7
2023-04-08 00:00:00+00:00,3,3,20,1
2023-04-09 00:00:00+00:00,2,2,8,6
2023-04-10 00:00:00+00:00,3,3,15,7
2023-04-11 00:00:00+00:00,3,2,9,4
2023-04-12 00:00:00+00:00,3,3,17,7
2023-04-13 00:00:00+00:00,2,2,11,3
2023-04-14 00:00:00+00:00,2,2,22,3
2023-04-15 00:00:00+00:00,2,2,1,1
2023-04-16 00:00:00+00:00,2,2,33,5
2023-04-17 00:00:00+00:00,4,3,16,8
2023-04-18 00:00:00+00:00,3,2,38,13
